existing_lion_name,existing_image_name,lion_orientation,distance_calculated,test_image_name,test_image_orientation
DVMC2,6S2A8819.jpg,right,0.9083347624730252,6S2A3400_JJPEG4,right
DVMC2,6S2A8825.jpg,left,-9999.0,6S2A3400_JJPEG4,right
DVMC2,6S2A8826.jpg,left,-9999.0,6S2A3400_JJPEG4,right
DVMC3,6S2A8829.jpg,right,0.9018182274610139,6S2A3400_JJPEG4,right
DVMC3,6S2A8830.jpg,right,0.8729790687500347,6S2A3400_JJPEG4,right
DVMC3,6S2A8833.jpg,right,0.9195748441262247,6S2A3400_JJPEG4,right
DVMC3,6S2A8839.jpg,left,-9999.0,6S2A3400_JJPEG4,right
DVMC3,6S2A8840.jpg,left,-9999.0,6S2A3400_JJPEG4,right
DVSAF1,6S2A8794.jpg,front,-9999.0,6S2A3400_JJPEG4,right
DVSAF1,6S2A8795.jpg,front,-9999.0,6S2A3400_JJPEG4,right
DVSAF1,6S2A8796.jpg,right,0.8996159824837544,6S2A3400_JJPEG4,right
DVSAF1,6S2A8797.jpg,right,0.9087028228265733,6S2A3400_JJPEG4,right
DVSAF1,6S2A8798.jpg,right,0.921777590076589,6S2A3400_JJPEG4,right
DVSAF1,6S2A8799.jpg,right,0.8841937902533791,6S2A3400_JJPEG4,right
DVSAF1,6S2A8800.jpg,front,-9999.0,6S2A3400_JJPEG4,right
DVSAF1,6S2A8804.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG10,6S2A2867.jpg,right,0.7871706851427807,6S2A3400_JJPEG4,right
JJPEG10,6S2A2868.jpg,right,0.7583391434098111,6S2A3400_JJPEG4,right
JJPEG10,6S2A2872.jpg,right,0.8450833788281209,6S2A3400_JJPEG4,right
JJPEG10,6S2A2873.jpg,right,0.8686904299235364,6S2A3400_JJPEG4,right
JJPEG10,6S2A2875.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG10,6S2A2876.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG10,6S2A2885.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG10,6S2A2888.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG11,6S2A2893.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG11,6S2A2894.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG11,6S2A2895.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG11,6S2A2896.jpg,right,0.867670492977243,6S2A3400_JJPEG4,right
JJPEG11,6S2A2897.jpg,right,0.8664038865131769,6S2A3400_JJPEG4,right
JJPEG11,6S2A2898.jpg,right,0.8770946918762552,6S2A3400_JJPEG4,right
JJPEG11,6S2A2899.jpg,right,0.8262735558445853,6S2A3400_JJPEG4,right
JJPEG11,6S2A2900.jpg,right,0.9001647189162956,6S2A3400_JJPEG4,right
JJPEG11,6S2A2901.jpg,right,0.8426105110863413,6S2A3400_JJPEG4,right
JJPEG11,6S2A2902.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG11,6S2A2908.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG11,6S2A2910.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG11,6S2A2915.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG11,6S2A2916.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG11,6S2A2917.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG11,6S2A2918.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG12,6S2A2921.jpg,right,0.7142043196647477,6S2A3400_JJPEG4,right
JJPEG12,6S2A2922.jpg,right,0.885581374829971,6S2A3400_JJPEG4,right
JJPEG13,6S2A2935.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG13,6S2A2936.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG13,6S2A2937.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG13,6S2A2938.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG13,6S2A2939.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG13,6S2A2940.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG13,6S2A2941.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG13,6S2A2942.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG13,6S2A2946.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG13,6S2A2949.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG13,6S2A2950.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG13,6S2A2951.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG14,6S2A2969.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG14,6S2A2970.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG14,6S2A2971.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG14,6S2A2972.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG14,6S2A2973.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG14,6S2A2974.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG14,6S2A2975.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG14,6S2A2977.jpg,right,0.8752445636770346,6S2A3400_JJPEG4,right
JJPEG14,6S2A2981.jpg,right,0.870232482435503,6S2A3400_JJPEG4,right
JJPEG14,6S2A2982.jpg,right,0.9013963401434216,6S2A3400_JJPEG4,right
JJPEG14,6S2A2983.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG14,6S2A2985.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG14,6S2A2986.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG14,6S2A2989.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG14,6S2A2990.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG14,6S2A2991.jpg,right,0.8931650420894311,6S2A3400_JJPEG4,right
JJPEG14,6S2A2992.jpg,right,0.8894986290169932,6S2A3400_JJPEG4,right
JJPEG14,6S2A2993.jpg,right,0.8488172295594493,6S2A3400_JJPEG4,right
JJPEG14,6S2A2994.jpg,right,0.893685048790438,6S2A3400_JJPEG4,right
JJPEG15,6S2A2997.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG15,6S2A2998.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG15,6S2A2999.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG15,6S2A3000.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG15,6S2A3001.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG15,6S2A3002.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG15,6S2A3004.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG15,6S2A3005.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG15,6S2A3006.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG15,6S2A3008.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG15,6S2A3009.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG15,6S2A3010.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG15,6S2A3011.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG15,6S2A3013.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG15,6S2A3014.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG16,6S2A3017.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG16,6S2A3018.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG16,6S2A3021.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG16,6S2A3023.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG16,6S2A3025.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG16,6S2A3026.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG16,6S2A3027.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG16,6S2A3028.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG16,6S2A3029.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG16,6S2A3030.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG4,6S2A3400.jpg,right,0.9114139518976985,6S2A3400_JJPEG4,right
JJPEG4,6S2A3402.jpg,right,0.9027674412779105,6S2A3400_JJPEG4,right
JJPEG4,6S2A3403.jpg,right,0.9431022612117063,6S2A3400_JJPEG4,right
JJPEG4,6S2A3404.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG4,6S2A3405.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG4,6S2A3406.jpg,right,0.8999150560512523,6S2A3400_JJPEG4,right
JJPEG4,6S2A3407.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG4,6S2A3408.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG4,6S2A3414.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG4,6S2A3415.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG4,6S2A3416.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG4,6S2A3417.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG4,6S2A3418.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG4,6S2A3419.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG4,6S2A3423.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG4,6S2A3424.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG4,6S2A3425.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG5,6S2A3434.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG5,6S2A3436.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG5,6S2A3438.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG5,6S2A3441.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG5,6S2A3442.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG5,6S2A3443.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG5,6S2A3444.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG6,6S2A3449.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG6,6S2A3450.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG6,6S2A3451.jpg,right,0.9194209524492809,6S2A3400_JJPEG4,right
JJPEG6,6S2A3453.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG6,6S2A3454.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG6,6S2A3455.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG6,6S2A3456.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG6,6S2A3457.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG6,6S2A3458.jpg,right,0.9188392459200421,6S2A3400_JJPEG4,right
JJPEG6,6S2A3459.jpg,right,0.8366130735887098,6S2A3400_JJPEG4,right
JJPEG6,6S2A3460.jpg,right,0.9097800992000225,6S2A3400_JJPEG4,right
JJPEG6,6S2A3461.jpg,right,0.9109721462289986,6S2A3400_JJPEG4,right
JJPEG7,6S2A3466.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG7,6S2A3467.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG7,6S2A3470.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG7,6S2A3476.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG7,6S2A3477.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG7,6S2A3478.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG7,6S2A3479.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG7,6S2A3480.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG8,6S2A3545.jpg,left,-9999.0,6S2A3400_JJPEG4,right
JJPEG8,6S2A3546.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG8,6S2A3547.jpg,front,-9999.0,6S2A3400_JJPEG4,right
JJPEG8,6S2A3548.jpg,front,-9999.0,6S2A3400_JJPEG4,right
